angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.17,"[795, 253, 275, 344]",0.0,0.41,0.0,0.23,0.13,0.05
0.17,"[795, 252, 275, 345]",0.0,0.41,0.0,0.23,0.13,0.06
0.17,"[797, 252, 275, 345]",0.0,0.44,0.0,0.2,0.14,0.05
0.17,"[797, 254, 274, 342]",0.0,0.42,0.0,0.21,0.16,0.04
0.17,"[797, 254, 274, 342]",0.0,0.42,0.0,0.21,0.16,0.04
0.09,"[793, 247, 279, 356]",0.0,0.37,0.0,0.28,0.25,0.0
0.1,"[793, 247, 278, 356]",0.0,0.33,0.0,0.34,0.23,0.0
0.17,"[797, 251, 276, 346]",0.0,0.29,0.0,0.28,0.24,0.0
0.17,"[797, 251, 275, 346]",0.0,0.29,0.0,0.28,0.25,0.0
0.17,"[797, 251, 275, 346]",0.0,0.29,0.0,0.28,0.25,0.0
0.18,"[796, 253, 274, 344]",0.0,0.31,0.0,0.32,0.17,0.02
0.18,"[796, 253, 274, 344]",0.0,0.31,0.0,0.32,0.17,0.02
0.13,"[793, 252, 277, 345]",0.0,0.38,0.0,0.31,0.15,0.03
0.12,"[796, 254, 274, 343]",0.0,0.31,0.0,0.34,0.19,0.04
0.13,"[796, 254, 274, 343]",0.0,0.32,0.0,0.32,0.19,0.04
0.13,"[795, 253, 275, 345]",0.0,0.38,0.0,0.28,0.17,0.05
0.13,"[795, 253, 275, 345]",0.0,0.37,0.0,0.28,0.17,0.05
0.21,"[796, 251, 276, 349]",0.0,0.36,0.0,0.23,0.18,0.03
0.24,"[796, 252, 276, 348]",0.0,0.35,0.0,0.21,0.17,0.03
0.24,"[796, 252, 276, 348]",0.0,0.35,0.0,0.21,0.17,0.03
0.25,"[796, 253, 276, 346]",0.0,0.32,0.0,0.23,0.16,0.04
0.19,"[796, 255, 274, 344]",0.0,0.34,0.0,0.26,0.17,0.04
0.18,"[785, 249, 282, 360]",0.0,0.21,0.0,0.48,0.11,0.03
0.18,"[785, 248, 281, 360]",0.0,0.21,0.0,0.47,0.12,0.02
0.19,"[785, 248, 281, 360]",0.0,0.21,0.0,0.47,0.12,0.02
0.16,"[787, 252, 281, 358]",0.0,0.29,0.0,0.37,0.12,0.06
0.16,"[787, 252, 281, 358]",0.0,0.29,0.0,0.37,0.12,0.07
0.15,"[790, 254, 279, 356]",0.0,0.33,0.0,0.34,0.13,0.05
0.15,"[790, 254, 279, 356]",0.0,0.33,0.0,0.34,0.13,0.05
0.15,"[790, 254, 279, 356]",0.0,0.33,0.0,0.34,0.13,0.05
0.18,"[789, 251, 280, 358]",0.0,0.42,0.0,0.23,0.09,0.08
0.18,"[789, 251, 280, 358]",0.0,0.41,0.0,0.24,0.09,0.08
0.11,"[788, 252, 284, 361]",0.0,0.51,0.0,0.08,0.04,0.25
0.11,"[788, 252, 284, 361]",0.0,0.51,0.0,0.09,0.04,0.25
0.11,"[788, 252, 284, 361]",0.0,0.51,0.0,0.09,0.04,0.25
0.12,"[789, 251, 282, 361]",0.0,0.53,0.0,0.09,0.04,0.21
0.12,"[789, 251, 282, 361]",0.0,0.53,0.0,0.09,0.04,0.21
0.08,"[791, 253, 279, 357]",0.0,0.52,0.0,0.03,0.02,0.36
0.08,"[791, 253, 279, 357]",0.0,0.52,0.0,0.03,0.02,0.36
0.08,"[791, 253, 279, 357]",0.0,0.52,0.0,0.03,0.02,0.36
0.07,"[790, 252, 279, 359]",0.0,0.45,0.0,0.01,0.01,0.46
0.06,"[790, 252, 280, 359]",0.0,0.46,0.0,0.01,0.01,0.46
0.07,"[790, 252, 283, 362]",0.0,0.42,0.0,0.01,0.01,0.5
0.05,"[789, 251, 283, 362]",0.0,0.39,0.0,0.01,0.0,0.55
0.05,"[789, 251, 283, 362]",0.0,0.38,0.0,0.01,0.0,0.55
0.07,"[789, 250, 281, 361]",0.0,0.3,0.0,0.01,0.0,0.62
0.06,"[789, 249, 281, 362]",0.0,0.28,0.0,0.01,0.0,0.64
0.13,"[790, 253, 283, 360]",0.0,0.29,0.0,0.02,0.01,0.56
0.14,"[790, 252, 284, 361]",0.0,0.29,0.0,0.02,0.01,0.53
0.15,"[790, 252, 284, 361]",0.0,0.29,0.0,0.02,0.01,0.53
0.07,"[786, 247, 283, 354]",0.0,0.26,0.0,0.0,0.0,0.66
0.07,"[787, 247, 282, 354]",0.0,0.25,0.0,0.0,0.0,0.67
0.16,"[790, 251, 273, 345]",0.0,0.26,0.0,0.01,0.01,0.57
0.16,"[790, 251, 273, 345]",0.0,0.26,0.0,0.01,0.01,0.57
0.16,"[790, 251, 273, 345]",0.0,0.26,0.0,0.01,0.01,0.57
0.14,"[784, 242, 287, 352]",0.0,0.14,0.0,0.01,0.01,0.69
0.15,"[784, 242, 287, 352]",0.0,0.14,0.0,0.01,0.01,0.69
0.36,"[794, 235, 274, 357]",0.0,0.12,0.11,0.03,0.03,0.35
0.35,"[794, 235, 274, 357]",0.0,0.12,0.11,0.03,0.03,0.36
0.35,"[794, 235, 274, 357]",0.0,0.12,0.11,0.03,0.03,0.36
0.05,"[788, 238, 267, 343]",0.0,0.03,0.88,0.01,0.0,0.03
0.05,"[788, 238, 266, 342]",0.0,0.05,0.85,0.01,0.0,0.04
0.01,"[787, 232, 274, 352]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[786, 232, 275, 353]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[786, 232, 274, 352]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[787, 232, 273, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[791, 229, 264, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[789, 227, 264, 348]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[789, 228, 265, 347]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[789, 228, 265, 347]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[788, 226, 264, 349]",0.0,0.01,0.97,0.0,0.0,0.01
0.01,"[788, 225, 265, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 233, 255, 338]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[799, 233, 256, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[799, 233, 256, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[798, 233, 255, 336]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[798, 233, 255, 336]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[795, 231, 258, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 231, 258, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 231, 258, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 230, 260, 342]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[794, 229, 260, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[785, 225, 264, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[785, 225, 264, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[785, 225, 264, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[783, 228, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 228, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 231, 268, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 231, 268, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[784, 231, 264, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 265, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 265, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 232, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 231, 266, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 231, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 231, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 231, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 232, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 266, 350]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[779, 231, 264, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 230, 263, 350]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 230, 263, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 234, 270, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 234, 269, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 234, 268, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 268, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[779, 234, 268, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[778, 235, 269, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[778, 235, 269, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[777, 235, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 236, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 236, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 269, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 269, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 269, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 264, 353]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[779, 232, 265, 353]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[780, 230, 265, 354]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[780, 230, 265, 354]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[780, 230, 265, 354]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[781, 232, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[781, 232, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[781, 231, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 231, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 231, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 232, 265, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 232, 265, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 235, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 235, 267, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 234, 267, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 267, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 233, 267, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 234, 268, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[784, 234, 266, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 234, 266, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 235, 267, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 234, 267, 349]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 234, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[786, 235, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 232, 267, 355]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 233, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 233, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 234, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[787, 235, 267, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 234, 267, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 229, 262, 350]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[785, 229, 262, 350]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[783, 226, 263, 353]",0.0,0.0,0.96,0.03,0.0,0.0
