angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[824, 167, 296, 373]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[824, 167, 296, 373]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[827, 177, 297, 364]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[827, 176, 297, 365]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[830, 179, 296, 364]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[830, 180, 296, 363]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[834, 187, 293, 359]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 185, 294, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 184, 294, 362]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 184, 295, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 184, 295, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[835, 184, 295, 361]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[848, 184, 280, 343]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[848, 184, 280, 344]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[846, 184, 282, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 184, 281, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 184, 281, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 181, 284, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 181, 284, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 182, 285, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 182, 285, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 182, 285, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 182, 286, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 182, 286, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 184, 279, 341]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[850, 184, 279, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 184, 279, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 181, 281, 346]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[845, 181, 281, 346]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[844, 181, 281, 346]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[844, 181, 281, 346]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[844, 181, 281, 346]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[840, 181, 282, 348]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 181, 282, 348]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[826, 162, 292, 372]",0.0,0.0,0.99,0.0,0.0,0.01
